Id,SalePrice
1461,127790.837053
1462,154065.808614
1463,179385.365327
1464,188675.498556
1465,195491.64758
1466,182972.374957
1467,162470.954424
1468,173840.13208
1469,179135.254445
1470,113652.629332
1471,212976.344077
1472,97951.9350832
1473,101719.326737
1474,157899.446974
1475,152308.609836
1476,367955.505309
1477,253790.50106
1478,307656.851582
1479,311827.441272
1480,427543.024891
1481,305896.480881
1482,202734.919969
1483,175976.385618
1484,177359.035924
1485,171455.318014
1486,197604.185046
1487,336663.394922
1488,243078.217811
1489,202589.483845
1490,202484.495103
1491,195887.200861
1492,86298.9734968
1493,178406.666434
1494,292723.500508
1495,302459.164503
1496,227743.275776
1497,193373.013063
1498,154713.02599
1499,154287.317137
1500,147448.934822
1501,177362.297486
1502,156885.317523
1503,303947.166079
1504,244958.750966
1505,217673.110745
1506,189400.664312
1507,226545.996313
1508,204029.508917
1509,163220.499549
1510,150684.047782
1511,151781.053793
1512,167355.458423
1513,157104.117653
1514,166406.204158
1515,183718.393916
1516,159116.979741
1517,151432.136904
1518,127136.674235
1519,221951.219712
1520,137274.619653
1521,142642.527515
1522,162005.524758
1523,117593.206376
1524,123136.995032
1525,123468.984165
1526,129290.984694
1527,104696.749938
1528,129381.090068
1529,144152.574284
1530,168458.621302
1531,127855.102514
1532,115668.166312
1533,142062.216978
1534,119351.363002
1535,167705.113868
1536,118754.093274
1537,75035.4991944
1538,186475.260714
1539,250975.743761
1540,113665.191306
1541,155934.66987
1542,152940.728482
1543,222641.259874
1544,70152.5088871
1545,116041.589598
1546,123865.750133
1547,136518.137068
1548,139004.322493
1549,115598.29372
1550,141378.113036
1551,121131.929731
1552,144453.054365
1553,153183.317241
1554,121123.577814
1555,173245.10912
1556,86224.0694049
1557,134402.908108
1558,94123.1310144
1559,121217.921075
1560,151531.330937
1561,149357.172216
1562,124011.180513
1563,123904.225453
1564,160498.242527
1565,151095.389651
1566,224128.404738
1567,74579.3290224
1568,224779.712992
1569,150213.764964
1570,134429.847249
1571,134946.501672
1572,143132.321197
1573,228318.227714
1574,150282.021508
1575,212518.008574
1576,213752.226331
1577,199422.448891
1578,162002.262105
1579,138179.112831
1580,189662.74933
1581,137831.13116
1582,128811.924384
1583,364735.205679
1584,239587.432142
1585,144236.997061
1586,72146.8265134
1587,111780.176371
1588,156292.011499
1589,94621.0942917
1590,136494.431251
1591,113538.165109
1592,118168.065736
1593,121201.995053
1594,127692.555486
1595,127364.946605
1596,229704.49803
1597,162590.650429
1598,185736.83657
1599,227002.538902
1600,192431.863206
1601,87321.302054
1602,117211.473619
1603,107576.11634
1604,262134.441537
1605,260474.604599
1606,162950.896535
1607,175288.777088
1608,204831.018947
1609,188822.293686
1610,160595.093212
1611,149261.285035
1612,154770.662506
1613,164201.77036
1614,127630.551047
1615,89843.813006
1616,88780.4360177
1617,89699.6980887
1618,124263.701788
1619,131058.475757
1620,154176.819915
1621,133080.014423
1622,151319.059505
1623,285172.823743
1624,217634.148568
1625,132574.926943
1626,167834.013272
1627,190403.254844
1628,292802.9992
1629,173888.449665
1630,349982.548447
1631,215162.38667
1632,264350.830595
1633,168954.960793
1634,182283.009723
1635,179113.838056
1636,159145.685661
1637,168513.002174
1638,212119.745576
1639,174515.309738
1640,260258.614456
1641,188549.17066
1642,218236.611791
1643,244378.801743
1644,237969.484841
1645,171162.152032
1646,155320.818793
1647,170115.403727
1648,146709.321893
1649,137714.555326
1650,121554.565526
1651,118314.472931
1652,98151.2562712
1653,101763.943015
1654,156423.214032
1655,166028.944885
1656,152628.454557
1657,155196.255509
1658,155656.609546
1659,155963.769845
1660,145294.888161
1661,417990.42434
1662,374669.465099
1663,364157.55994
1664,413363.920236
1665,313763.693652
1666,356205.137706
1667,367802.035943
1668,332698.987944
1669,294037.776676
1670,345645.448717
1671,263345.717605
1672,417524.357862
1673,303982.451404
1674,252145.043692
1675,182425.749374
1676,183730.127526
1677,209195.952707
1678,410759.177915
1679,396685.67102
1680,338050.094302
1681,234353.32637
1682,319681.307889
1683,188628.306305
1684,175495.214586
1685,172718.794881
1686,174209.818412
1687,166382.149958
1688,188146.443533
1689,189830.653413
1690,187322.004476
1691,173231.661139
1692,276321.594665
1693,167361.339285
1694,184275.425937
1695,170348.46035
1696,279816.256658
1697,170330.69245
1698,372402.426038
1699,337142.403471
1700,236111.194964
1701,271803.466892
1702,271678.482334
1703,254157.221151
1704,304522.168028
1705,215092.262409
1706,378277.031872
1707,202643.556788
1708,204727.681409
1709,268499.791466
1710,227815.866308
1711,267981.838938
1712,282030.042498
1713,269282.528944
1714,211337.461684
1715,206222.575059
1716,188229.074456
1717,176872.8502
1718,150201.058238
1719,204367.152146
1720,241448.558404
1721,187156.771221
1722,151401.427463
1723,156949.400235
1724,212151.039035
1725,225093.495654
1726,187330.610693
1727,171805.579271
1728,185311.843496
1729,168086.466848
1730,161179.787581
1731,122766.384239
1732,133243.51127
1733,121776.753016
1734,131143.111931
1735,129813.517072
1736,116594.900357
1737,392655.322077
1738,214835.929467
1739,298773.282782
1740,194195.028131
1741,173291.817184
1742,177751.095516
1743,170974.693731
1744,316267.06732
1745,229703.364687
1746,257775.767173
1747,227896.256622
1748,204733.141446
1749,157556.713254
1750,148331.870538
1751,228853.133626
1752,119281.381139
1753,144570.383884
1754,219296.518865
1755,165021.061763
1756,114369.634539
1757,118409.195047
1758,135497.907342
1759,172649.950001
1760,157871.192544
1761,154905.853575
1762,167083.774882
1763,165601.790322
1764,122955.656462
1765,173447.867457
1766,176820.153249
1767,200876.500465
1768,137480.770543
1769,179418.104755
1770,140994.311831
1771,138485.679376
1772,141197.589391
1773,135373.281234
