prediction	error	error_decile	abs_error_decile
0.100591212452	0.00940878754795	5	0
0.792864524158	-0.0728645241582	4	1
0.401958165517	0.00804183448297	5	0
0.830583280925	0.059416719075	6	1
0.410554079608	-0.0505540796076	4	1
0.767616571111	-0.00761657111146	5	0
0.11500706491	-0.0250070649097	5	0
0.825717723328	-0.00571772332772	5	0
0.110625045639	-0.0106250456387	5	0
0.407664393579	0.00233560642076	5	0
0.413531586771	-0.0335315867708	5	0
0.406758850278	-0.0367588502779	5	0
0.803304721172	0.0466952788277	6	1
0.431191678858	0.36728046312	9	8
0.412129530035	0.0178704699655	5	0
0.458652499086	-0.368652499086	0	8
0.10104573819	-0.0110457381901	5	0
0.123223461202	-0.0132234612015	5	0
0.0999830108339	1.69891661339e-05	5	0
0.11492301543	-0.00492301543016	5	0
0.407260703794	0.0327392962063	5	0
0.404714226101	0.0152857738985	5	0
0.406758850278	-0.0067588502779	5	0
0.11081824966	-0.00081824966026	5	0
0.404714226101	0.0152857738985	5	0
0.410586037347	-0.0405860373466	4	0
0.807405724942	0.0325942750582	5	0
0.403822652278	-0.00382265227833	5	0
0.407260703794	0.0427392962063	5	0
0.105090529871	-0.00509052987073	5	0
0.767616571111	0.0223834288885	5	0
0.775104761135	0.124895238865	7	2
0.796883160911	0.013116839089	5	0
0.111904973392	-0.0119049733918	5	0
0.700217210021	-0.000217210020741	5	0
0.404714226101	0.00528577389853	5	0
0.450308564484	-0.0103085644838	5	0
0.10359051168	-0.0135905116805	5	0
0.687957930759	0.212042069241	8	4
0.401958165517	-0.021958165517	5	0
0.722473948453	-0.332473948453	1	7
0.406758850278	0.0432411497221	6	0
0.413817690685	-0.0138176906849	5	0
0.78614149788	0.11385850212	6	2
0.413817690685	0.0161823093151	5	0
0.410554079608	-0.0105540796076	5	0
0.10104573819	-0.00104573819008	5	0
0.406758850278	-0.0367588502779	5	0
0.413817690685	-0.0338176906849	5	0
0.401958165517	-0.00195816551703	5	0
0.412129530035	0.00787046996545	5	0
0.102561770938	0.00743822906244	5	0
0.107563462216	-0.0175634622156	5	0
0.136285640424	-0.0262856404245	5	0
0.701932582302	0.118067417698	6	2
0.410586037347	-0.0305860373466	5	0
0.10202186731	0.00797813268973	5	0
0.406758850278	-0.0067588502779	5	0
0.152463632631	-0.0424636326312	4	0
0.408311894966	0.0416881050341	5	0
0.407963559731	0.00203644026876	5	0
0.107624080785	-0.00762408078526	5	0
0.407664393579	-0.00766439357924	5	0
0.404333936229	0.00566606377116	5	0
0.0997368571932	0.000263142806772	5	0
0.801727384967	-0.071727384967	4	1
0.403822652278	0.00617734772167	5	0
0.403822652278	-0.0338226522783	5	0
0.839516177333	0.0404838226673	5	0
0.422908879245	-0.0329088792452	5	0
0.104995564714	0.00500443528642	5	0
0.416818711321	0.0131812886792	5	0
0.413531586771	-0.00353158677079	5	0
